fuel_type,num_doors,body_style,wheel_base,engine_size,bore,stroke,horsepower,peak_rpm,city_mpg,highway_mpg,price,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo
0.0,2,0.0,88.6,130,3.47,2.68,111,5000,21,27,13495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,0.0,88.6,130,3.47,2.68,111,5000,21,27,16500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,1.0,94.5,152,2.68,3.47,154,5000,19,26,16500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,99.8,109,3.19,3.40,102,5500,24,30,13950,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,99.4,136,3.19,3.40,115,5500,18,22,17450,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,2.0,99.8,136,3.19,3.40,110,5500,19,25,15250,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,105.8,136,3.19,3.40,110,5500,19,25,17710,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,4.0,105.8,136,3.19,3.40,110,5500,19,25,18920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,105.8,131,3.13,3.40,140,5500,17,20,23875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,2.0,101.2,108,3.50,2.80,101,5800,23,29,16430,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,101.2,108,3.50,2.80,101,5800,23,29,16925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,2.0,101.2,164,3.31,3.19,121,4250,21,28,20970,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,101.2,164,3.31,3.19,121,4250,21,28,21105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,103.5,164,3.31,3.19,121,4250,20,25,24565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,103.5,209,3.62,3.39,182,5400,16,22,30760,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,2.0,103.5,209,3.62,3.39,182,5400,16,22,41315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,110.0,209,3.62,3.39,182,5400,15,20,36880,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,1.0,88.4,61,2.91,3.03,48,5100,47,53,5151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,1.0,94.5,90,3.03,3.11,70,5400,38,43,6295,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,94.5,90,3.03,3.11,70,5400,38,43,6575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,1.0,93.7,90,2.97,3.23,68,5500,37,41,5572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,1.0,93.7,90,2.97,3.23,68,5500,31,38,6377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2,1.0,93.7,98,3.03,3.39,102,5500,24,30,7957,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,1.0,93.7,90,2.97,3.23,68,5500,31,38,6229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,93.7,90,2.97,3.23,68,5500,31,38,6692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,2.0,93.7,90,2.97,3.23,68,5500,31,38,7609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
